,Año,Compañia,Region,Offer Price,S/Q Rating,Pairs Offered,Pairs Sold,Market Share
42,18,A,LA,40.0,5.0,985,985,0.392
43,18,B,LA,54.95,6.0,1002,0,0.0
44,18,C,LA,52.99,6.0,405,405,0.161
45,18,D,LA,44.98,5.0,984,984,0.392
46,18,E,LA,53.0,6.2,997,136,0.054
0,19,A,NA,43.5,5.0,949,948,0.4
1,19,B,NA,0.0,0.0,0,0,0.0
2,19,C,NA,46.99,6.1,893,474,0.2
3,19,D,NA,44.98,5.0,948,948,0.4
4,19,E,NA,48.0,6.0,198,0,0.0
14,19,A,EA,43.5,5.0,945,945,0.399
15,19,B,EA,0.0,0.0,0,0,0.0
16,19,C,EA,48.99,6.1,852,481,0.203
17,19,D,EA,44.98,5.0,944,944,0.398
18,19,E,EA,0.0,0.0,0,0,0.0
28,19,A,AP,43.5,5.0,1115,1114,0.4
29,19,B,AP,0.0,0.0,0,0,0.0
30,19,C,AP,44.99,6.1,690,561,0.201
31,19,D,AP,44.98,5.0,1110,1110,0.399
32,19,E,AP,46.0,6.0,298,0,0.0
42,19,A,LA,43.5,5.0,1115,1115,0.4
43,19,B,LA,35.99,4.9,992,0,0.0
44,19,C,LA,0.0,0.0,0,0,0.0
45,19,D,LA,44.98,5.0,1019,1019,0.366
46,19,E,LA,0.0,0.0,0,0,0.0
0,20,A,NA,41.4,5.0,1035,1034,0.4
1,20,B,NA,0.0,0.0,0,0,0.0
2,20,C,NA,46.99,5.8,893,0,0.0
3,20,D,NA,43.98,5.0,1035,1034,0.4
4,20,E,NA,44.0,6.0,1032,517,0.2
14,20,A,EA,41.4,5.0,1026,1026,0.397
15,20,B,EA,0.0,0.0,0,0,0.0
16,20,C,EA,48.99,5.8,852,178,0.069
17,20,D,EA,43.98,5.0,1035,1034,0.4
18,20,E,EA,44.0,6.0,347,347,0.134
28,20,A,AP,41.4,5.0,1236,1236,0.4
29,20,B,AP,0.0,0.0,0,0,0.0
30,20,C,AP,44.99,5.9,690,0,0.0
31,20,D,AP,43.98,5.0,1236,1236,0.4
32,20,E,AP,44.0,6.0,932,618,0.2
42,20,A,LA,41.4,5.0,1228,1228,0.397
43,20,B,LA,0.0,0.0,0,0,0.0
44,20,C,LA,0.0,0.0,0,0,0.0
45,20,D,LA,43.98,5.0,1237,1237,0.4
46,20,E,LA,44.0,6.0,347,347,0.112
