,Año,Compañia,Region,Wholesale Price,S/Q Rating,Num Models,Brand Advertising,Rebate Offer,Delivery Time,Retailer Support,Retail Outlets,Celebrity Appeal,Brand Reputation,Pairs Demanded,Gained Stockouts,Pairs Sold,Market Share
1,19,B,NA,68.99,9.0,500.0,30000,4,2,250,3084,100,77,2337,78,2415,0.1673
2,19,C,NA,69.0,9.9,388.5,30000,6,2,6000,1228,0,83,1787,-207,1580,0.1095
3,19,D,NA,79.0,10.0,450.0,30000,5,1,5500,3085,145,100,2235,-109,2126,0.1473
4,19,E,NA,67.0,9.3,450.0,30000,7,1,8000,4346,0,99,3684,124,3808,0.2638
14,19,A,EA,68.0,10.0,100.0,30000,5,1,7000,5600,250,100,3754,30,3784,0.2962
15,19,B,EA,69.45,8.7,500.0,30000,4,2,250,2711,130,77,2102,34,2136,0.1672
16,19,C,EA,70.0,10.0,338.8,30000,6,2,7000,1168,0,83,1327,22,1349,0.1056
17,19,D,EA,79.0,10.0,450.0,30000,5,1,5500,3080,115,100,1929,-144,1785,0.1397
18,19,E,EA,68.0,9.3,450.0,30000,6,1,8500,5334,0,99,3663,59,3722,0.2913
28,19,A,AP,68.0,10.0,100.0,30000,5,1,7000,6047,230,100,3819,52,3871,0.3011
29,19,B,AP,66.95,9.0,500.0,30000,4,2,250,2882,160,77,2364,77,2441,0.1899
30,19,C,AP,70.0,10.0,350.0,30000,5,2,6500,1187,0,83,1334,-101,1233,0.0959
31,19,D,AP,79.0,10.0,450.0,30000,4,1,5500,3159,120,100,1911,-139,1772,0.1378
32,19,E,AP,66.0,9.3,450.0,30000,7,1,8000,4338,0,99,3427,111,3538,0.2752
42,19,A,LA,68.0,10.0,100.0,30000,5,1,7000,6049,190,100,3873,212,4085,0.3053
43,19,B,LA,64.0,9.0,500.0,30000,4,2,250,2768,165,77,2756,151,2907,0.2172
44,19,C,LA,71.0,10.0,341.6,30000,5,2,6000,758,0,83,1301,-465,836,0.0625
45,19,D,LA,79.0,10.0,450.0,30000,5,1,5500,2909,135,100,1992,-86,1906,0.1424
46,19,E,LA,67.0,9.3,450.0,30000,5,1,8500,4573,0,99,3459,189,3648,0.2726
0,20,A,NA,69.0,10.0,100.0,30000,5,1,7000,5330,245,100,4186,-111,4075,0.2964
1,20,B,NA,68.99,9.0,500.0,30000,5,1,0,2499,100,76,2811,-632,2179,0.1585
2,20,C,NA,71.99,9.9,398.9,0,6,2,3000,1816,85,83,1488,-145,1343,0.0977
3,20,D,NA,76.0,10.0,498.6,30000,5,1,2500,2496,60,100,2504,-388,2116,0.1539
4,20,E,NA,68.0,9.6,300.0,30000,7,1,8000,5074,0,100,3731,302,4033,0.2934
14,20,A,EA,69.0,10.0,100.0,30000,5,1,7000,5092,250,100,3437,111,3548,0.2758
15,20,B,EA,69.45,9.0,500.0,30000,5,1,0,2257,130,76,2374,-268,2106,0.1637
16,20,C,EA,70.99,9.9,400.0,30000,5,2,3000,2478,65,83,1899,-384,1515,0.1178
17,20,D,EA,78.0,10.0,498.6,30000,5,1,2500,2500,50,100,1951,65,2016,0.1567
18,20,E,EA,69.0,9.6,300.0,30000,6,1,8500,5590,0,100,3205,476,3681,0.2861
28,20,A,AP,69.0,10.0,100.0,30000,5,1,7000,5212,230,100,3669,-9,3660,0.2735
29,20,B,AP,66.95,9.0,500.0,30000,5,2,0,2323,160,76,2753,-435,2318,0.1732
30,20,C,AP,70.99,10.0,398.2,8000,5,2,3000,2049,60,83,1493,-281,1212,0.0906
31,20,D,AP,75.0,10.0,498.7,30000,5,1,2500,2506,60,100,2310,-207,2103,0.1571
32,20,E,AP,67.0,9.6,300.0,30000,7,1,8000,5218,0,100,3460,630,4090,0.3056
42,20,A,LA,69.0,10.0,100.0,30000,5,1,7000,5205,190,100,3790,-169,3621,0.2698
43,20,B,LA,64.0,9.0,500.0,30000,5,1,0,2302,165,76,3303,-656,2647,0.1973
44,20,C,LA,72.99,10.0,396.5,0,5,2,3000,1338,40,83,1274,-267,1007,0.075
45,20,D,LA,78.0,10.0,498.6,30000,5,1,2500,2347,95,100,2287,-353,1934,0.1441
46,20,E,LA,68.0,9.6,300.0,30000,5,1,8500,5351,0,100,3616,594,4210,0.3137
